OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,INSTALLED,LOCKED,INSTALL_DATE,REMOVAL_DATE,TEMPORARY_INSTALL,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS,X,Y,SE_ANNO_CAD_DATA,OWNER
289259658,525,Perry & 35th St,32404,38.936213,-76.960054,YES,NO,,,NO,9,6,403463.3113,140926.0058,,
289259659,526,Rockville Pike & Meeting St,32083,39.050539,-77.115212,YES,NO,,,NO,6,9,390027.1592,153622.8749,,
289259660,527,Potomac Ave & Half St SW,31648,38.870201,-77.010837,YES,NO,,,NO,16,5,399059.5641,133597.4381,,DC
289259661,529,Crystal Dr & Potomac Ave,31925,38.848304,-77.05122,YES,NO,,,NO,6,5,395553.7597,131167.9042,,
289259662,530,Largo Rd & Campus Way / Prince Georges's Comm Col,32405,38.88994,-76.825535,YES,NO,,,NO,9,6,415135.8934,135803.0252,,
289259663,531,Stanton Square SE,31822,38.855004,-76.984512,YES,NO,,,NO,2,17,401344.3364,131910.5185,,DC
289259664,532,14th & Newton St NW,31649,38.931991,-77.032956,YES,NO,,,NO,12,7,397142.5513,140457.0851,,DC
289259665,533,48th Pl & MacArthur Blvd NW,31322,38.917304,-77.09629,YES,NO,,,NO,6,12,391649.4609,138830.5912,,DC
289259666,534,14th & Luzon St NW,31416,38.969489,-77.033509,YES,NO,,,NO,7,12,397096.1314,144619.7204,,DC
289259667,535,1st & M St SE,31650,38.876893,-77.006072,YES,NO,,,NO,14,5,399473.1206,134340.262,,DC
289259668,536,Fleet St & Waterfront St,32406,38.782633,-77.016059,YES,NO,,,NO,7,8,398604.6884,123876.8742,,
289259669,537,Oxon Hill Park & Ride,32407,38.798749,-77.00103,YES,NO,,,NO,4,11,399910.527,125665.7254,,
289259670,538,11th & Park Rd NW,31651,38.931942,-77.028357,YES,NO,,,NO,13,6,397541.3057,140451.5117,,DC
289259671,539,4th & M St SE,31652,38.876751,-77.000736,YES,NO,,,NO,4,13,399936.1357,134324.4817,,DC
289259672,540,Kansas Ave & Sherman Cr NW,31417,38.948057,-77.021467,YES,NO,,,NO,2,17,398139.124,142240.2561,,DC
289259673,541,Campus Commons,32228,38.944707,-77.335425,YES,NO,,,NO,6,5,370922.2398,141921.5781,,
289259674,542,Park Run & Onyx Dr,32229,38.92755,-77.226644,YES,NO,,,NO,0,11,380347.6366,139987.9757,,
289259675,543,7th & K St NW,31653,38.902674,-77.021392,YES,NO,,,NO,11,6,398144.4448,137202.3544,,DC
289259676,544,King Greenleaf Rec Center,31654,38.876211,-77.012443,YES,NO,,,NO,5,13,398920.2861,134264.6109,,DC
289259677,545,Montello Ave & Holbrook Terr NE,31524,38.907444,-76.986813,YES,NO,,,NO,2,16,401143.772,137731.7283,,DC
